	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
105	639.3969999999998	3.0	642.406	0.5	Old27	Enc71	1	8	0.8590000000000001
106	642.9069999999998	3.0	645.9159999999998	7.5	False	CTL36	0	6	0.597
107	653.405	3.0	656.414	15.0	Old25	Enc72	1	6	0.875
108	671.409	3.0	674.418	0.5	Old76	Enc73	1	9	0.726
109	674.919	3.0	677.928	1.0	False	CTL37	0	5	0.6
110	678.915	3.0	681.924	0.5	False	CTL38	0	6	0.452
111	682.425	3.0	685.434	9.0	Old49	Enc74	1	5	0.47
112	694.428	3.0	697.437	6.0	Old52	Enc75	1	6	0.8109999999999999
113	703.438	3.0	706.447	10.0	False	CTL39	0	9	0.705
114	716.945	3.0	719.954	5.0	Old18	Enc76	1	5	0.813
115	724.952	3.0	727.961	1.0	Old35	Enc77	1	5	0.8140000000000001
116	728.948	3.0	731.957	18.0	Old20	Enc78	1	8	0.578
